 354-8815,101, no, no,0,70.9,123,12.05,211.9,73,18.01,236,73,10.62,10.6,3,2.86,3
 381-7211,137, no, no,0,223.6,86,38.01,244.8,139,20.81,94.2,81,4.24,9.5,7,2.57,0
 411-9481,103, no, yes,29,294.7,95,50.1,237.3,105,20.17,300.3,127,13.51,13.7,6,3.7,1
 418-9100,99, no, no,0,216.8,123,36.86,126.4,88,10.74,220.6,82,9.93,15.7,2,4.24,1
 413-3643,108, no, no,0,197.4,78,33.56,124,101,10.54,204.5,107,9.2,7.7,4,2.08,2
 375-6180,117, no, no,0,226.5,85,38.51,141.6,68,12.04,223,90,10.04,6.9,5,1.86,1
 348-8073,63, no, yes,32,218.9,124,37.21,214.3,125,18.22,260.3,120,11.71,12.9,3,3.48,1
 359-9881,94, no, no,0,157.5,97,26.78,224.5,112,19.08,310.8,106,13.99,11.1,6,3,0
uu34832727,0, no, no,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ddr234523424",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"353432424",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352422dgd",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"452535322",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5235322432",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52342543542",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3253423522",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5242423435",0," no"," no",0,0,0,0,0,0,0,0,0,0,0,0,0,0
